,local,name,address,number
96,울산광역시,봉월점,"울산광역시 남구 봉월로 8번길 43-1 , 1층(신정동)",052-269-6009
97,경기도,킨텍스점,경기 고양시 일산서구 킨텍스로 217-21,031-917-9249
98,인천광역시,연수2점,인천광역시 연수구 샘말로 87번길 7-6,032-811-6062
99,인천광역시,선학점,인천광역시 연수구 학나래로 118번길 40,032-813-3392
100,경기도,성복역점,경기도 용인시 수지구 성복2로 51 A동,031-889-9815
101,부산광역시,우동자이점,"부산광역시 해운대구 해운대로 469번길 110,601동",051-746-7955
102,경기도,곤지암점,경기 광주시 곤지암읍 평촌길 35-11,031-763-7856
103,경기도,강상점,경기도 양평군 강상면 강남로 913번길 1,031-771-3199
104,경기도,중산점,"경기도 고양시 일산동구 탄중로 311-16, 101호",031-915-0813
105,경기도,장곡점,경기도 시흥시 장곡로 49번길 5-1.1층 101호(장곡동),031-506-0232
106,경상남도,주촌신도시점,"경상남도 김해시 주촌면 선천남로 13, 2층",055-329-9990
107,경기도,기산점,경기도 화성시 동탄지성로 410,031-239-4885
108,대전광역시,탄방점,"대전광역시 서구 남선로 59번길 21, 1층",042-486-9289
109,충청북도,제천본점,충북 제천시 강제동 818번지 1층,043-648-0555
110,부산광역시,중동1호점,"부산광역시 해운대구 좌동순환로 468번 가길 20, 1층(중동)",051-746-7978
111,전라남도,구례점,"전남 구례군 구례읍 중앙로 154,(1층)",061-783-9282
112,부산광역시,감전점,"부산광역시 사상구 새벽시장로103번길 24,1층(감전동)",051-326-8316
113,부산광역시,대연혁신점,"부산광역시 남구 수영로325번길 61,301동 B107호 (대연동, 대연 롯데캐슬)",051-626-8114~5
114,강원도,연세대점,강원도 원주시 흥업면 매남동길 3-2 1층,033-763-0562
115,인천광역시,백령도점,인천광역시 옹진군 백령면664-7,032-836-8282
116,충청남도,금암점,충남 계룡시 장안1길 6 101호,042-551-1666
117,대전광역시,탄방점,"대전광역시 서구 남선로 59번길 21, 1층",042-486-9289
118,광주광역시,금호점,광주 서구 금화로73번길 18-9 1층(금호동),062-372-9281
119,전라남도,완도점,전남 완도군 완도읍 개포로 154-6,061-552-9283
120,경기도,옥길점,경기도 부천시 옥길동 715-6,032-343-9293
121,경기도,도당점,경기도 부천시 도당동43-8,032-671-0042
122,충청북도,봉양점,충청북도 제천시 제원로 2길 7,043-644-9592
123,인천광역시,가정점,인천광역시 서구 가정동612-17,032-562-7100
124,경기도,세류점,경기도 수원시 권선구 세지로80,031-898-7444
125,제주특별자치도,도남시청점,제주시 신성로 19,064-727-1001
126,세종특별자치시,고운점,세종시 고운서길 10,044-868-9592
127,세종특별자치시,소담점,"세종시 국책연구원1로 15, 상가A동 1층 102호",044-864-9282
128,경기도,고촌점,경기도 김포시 고촌읍 신곡리1160,031-996-8974
129,부산광역시,부평점,"부산광역시 중구 흑교로 21번길 20 1층,(부평동4가)",051-255-0520
130,부산광역시,연제1호점,"부산광역시 연제구 고분로 236번길 5, 1층(연산동)",051-755-7003
131,강원도,무실점,강원도 원주시 시청로 11 1층 102호,033-743-9292
132,광주광역시,첨단점,광주 광산구 첨단내촌로 66,062-973-9291
133,전라남도,장흥점,전남 장흥군 장흥읍 동교로 40,061-862-8999
134,전라북도,동산반월점,전북 전주시 덕진구 쪽구름로 128(반월동),063-213-9280
135,전라북도,송천점,"전북 전주시 덕진구 붓내1길 10, 208동 2층 204(송천동2가)",063-273-9282
136,전라북도,인후점,"전북 전주시 덕진구 거북바우로 148, 1층(인후동2가)",063-245-9288
137,제주특별자치도,아라점,제주특별자치도 제주시 아란8길 16,064-724-3303
138,충청북도,호암점,충청북도 충주시 호암동1216,043-853-7001
139,경기도,보라점,경기도 용인시 기흥구 사은로84번길 10,031-287-0804
140,서울특별시,신월점,서울특별시 양천구 신월동 1057-1,02-2605-8614
141,경기도,창전점,경기도 이천시 창전동451-28,031-631-4950
142,울산광역시,천상점,"울산광역시 울주군 범서읍 천상길 6, 101호",052-910-9292
143,경상북도,해도점,경상북도 포항시 남구 해동로 16-1,054-272-0555
144,경상북도,인후점,전북 전주시 덕진구 거북바우로 148,063-245-9288
145,전라북도,아중점,전북 전주시 덕진구 석소로 9-6,063-244-9282
146,전라북도,평화점,전북 전주시 완산구 평화18길 23-10,063-221-9232
147,전라북도,신시가지점,전북 전주시 완산구 후곡길 23-9,063-222-9288
148,전라남도,나주혁신점,전남 나주시 배멧2길 39 로데오 빌딩 101호,061-336-9281
149,전라남도,보성점,전라남도 보성군 보성읍 주봉리 398,061-853-8592
150,충청북도,서충주기업도시점,충북 충주시 중앙탑면 원앙 9길 10 C동 1층 109호 (코아루 더 테라스상가),043-845-1030
151,강원도,포남점,"강원도 강릉시 경강로 2356번길 11, 1층",033-648-9911 ~ 2
152,충청북도,단양점,충북 단양군 단양읍 상진 13길 11,043-421-1236
153,강원도,간성점,강원도 고성군 간성읍 고성중앙 1길 13,033-681-0914
154,충청남도,공주신관점,"충청남도 공주시 신금2길 17, 1층 104호",041-853-9285
155,부산광역시,해운대좌동1호점,"부산광역시 해운대구 좌동로 152,1층 157호(좌동, 신도시시장)",051-701-9292
156,경기도,민락코스트코점,"경기 의정부시 용민로 469 , 107호",031-851-5592
157,경기도,묵현점,경기 남양주시 화도읍 먹갓로 28번길 5,031-595-0081
158,경기도,인창점,"경기 구리시 응달말로 51 , 107호",031-557-5592
159,경상북도,사동계양점,경상북도 경산시 원효로32길 10,053-813-4089
160,대구광역시,국우점,대구광역시 북구 학남로 99 A동 102호,053-322-0099
161,경상북도,용흥점,경상북도 포항시 북구 새마을로 88 1층,054-253-9979
162,경상북도,동천점,경상북도 경주시 대안길 39-2,054-745-3379
163,충청북도,호미지구점,충청북도 청주시 상당구 수영로360,043-295-6600
164,대전광역시,낭월점,대전광역시 동구 산내로1312,042-285-2999
165,경기도,장지점,경기도 광주시 순암로55,031-767-0522
166,부산광역시,연지점,부산광역시 부산진구 성지로 93(초읍동),051-819-8292
167,서울특별시,영등포점,서울특별시 영등포구 영등포동7가 203외2필지,02-2675-7377
168,충청남도,신창점,충청남도 아산시 신창면 행목로217,041-545-9989
169,부산광역시,용호메트로점,"부산광역시 남구 신선로 566,401동 154호",051-628-9290
170,세종특별자치시,소담점,세종특별자치시 소담동325,소담점
171,경기도,한숲시티점,경기도 용인시 처인구 남사면 한숲로 45,031-335-6661
172,서울특별시,신길점,서울특별시 영등포구 여의대방로53길 29,02-832-9227
173,서울특별시,광운대점,서울특별시 성북구 장위로49길 1-1,02-913-1292
174,경기도,토당점,경기도 고양시 덕양구 토당로125,031-971-0311
175,경기도,평택역점,경기도 평택시 평택동 292,031-652-9285
176,제주특별자치도,서귀포점,서귀포시 서문로 49,064-763-9982
177,제주특별자치도,제주삼양점,제주시 일주동로 378,064-727-9991
178,제주특별자치도,세화점,제주시 구좌읍 구좌로34,064-784-0130
179,제주특별자치도,이도점,제주시 승천로89,064-727-6868
180,제주특별자치도,제주연동점,제주시 사장2길31,064-742-7792
181,제주특별자치도,용담점,제주시 용문로 162,064-712-5006
182,부산광역시,범일점,부산광역시 동구 범상로 23 (범일동),051-636-1923
183,서울특별시,성내점,서울특별시 강동구 성내동 434-6,02-482-9992
184,부산광역시,서면1호점,"부산광역시 부산진구 새싹로 41-1 , 1층(부전동",051-802-9250
185,경기도,세마점,경기도 오산시 양산동 673-3,031-373-9212
186,제주특별자치도,일도점,제주특별자치도 제주시 일도2동 402-26,064-723-7075
187,충청남도,성성점,충청남도 천안시 서북구 성성9로 7,041-621-1117
188,경상남도,생초점,경상남도 산청군 생초면 새실로3,055-973-7702
189,충청남도,서산시청점,충청남도 서산시 고운로142,041-668-1788
190,인천광역시,원당점,인천광역시 서구 고산후로121번길 15,032-562-4555
191,서울특별시,상암점,서울특별시 마포구 성암로79,02-374-9374
192,서울특별시,도봉점,서울특별시 도봉구 마들로28길 58,02-3491-9282
193,경기도,파장점,경기도 수원시 장안구 파장천로 6,031-245-8818
194,충청남도,송악점,충청남도 당진시 송악읍 송악로 699,041-356-9233
195,울산광역시,중산점,"울산광역시 북구 중산로 7, 지상1층 (중산동)",052-291-3005
196,충청북도,청천점,충청북도 괴산군 청천면 청천2길 5,043-832-1986
197,경상북도,상도터미널점,경상북도 포항시 남구 중흥로100번길 10,054-262-5001
198,제주특별자치도,노형점,제주특별자치도 제주시 월랑북길10,064-742-3330
199,경기도,광명역점,경기도 광명시 일직로12번길 19,02-899-9939
200,서울특별시,중계본동점,서울특별시 노원구 중계로14길 29 (중계동),070-7543-5347
201,서울특별시,북아현점,서울특별시 서대문구 경기대로9길 81 (충정로 3가),02-364-9282
202,서울특별시,홍제점,서울특별시 서대문구 통일로39가길 57,02-396-2560
203,서울특별시,안암점,서울특별시 성북구 고려대로13길 43,02-929-2975
204,서울특별시,상계점,서울특별시 노원구 상계로23다길 5,02-951-2367
205,경상남도,증산점,경남 양산시 물금읍 새실2길 13,055-383-9242
206,경상북도,옥산점,경상북도 경산시 성암로 7길 8 A동  105호,054-812-9211
207,경상북도,이동점,"경상북도 포항시 남구 대이로 145, 102호",054-275-2922
208,경상북도,공성점,경상북도 상주시 공성면 산현1길 34-3,054-533-8999
209,경상북도,당북점,경상북도 안동시 배움길 52 1층,054-856-2468
210,경상북도,월포점,경상북도 포항시 북구 청하면 해안로 2308번길 67,054-232-4747
211,대전광역시,유천오류점,대전광역시 중구 계백로 1603번길 28-6 1층(유천동),042-523-0077
212,경기도,운양점,경기도 김포시 김포한강11로 38,031-987-1089
213,경상남도,교동점,경남 양산시 교동 245-2  협성강변타운 제상가 104동 101호,055-382-1772
214,부산광역시,송도점,"부산광역시 서구 충무대로 34, 상가동 2층 2-2호",051-241-3066
215,서울특별시,용마산점,서울특별시 중랑구 용마산로109길 24 (망우동),02-494-7878
216,서울특별시,장안점,서울특별시 동대문구 답십리로68길 67,02-2217-0011
217,경기도,당왕점,경기도 안성시 고수2로 70,031-672-0558
218,경기도,새솔점,경기도 화성시 수노을2로 36,031-355-5190
219,경기도,대림동산점,경기도 안성시 공도읍 대림동산길55,031-618-9977
220,서울특별시,강일점,서울특별시 강동구 강일동 676-1,02-429-8999
221,전라남도,삼학점,"전남 목포시 둥근섬로 54번길 14, 1층(산정동)",061-242-9282
222,부산광역시,명지오션시티점,"부산광역시 강서구 명지오션시티10로 114,",051-294-0399
223,부산광역시,서대신점,부산광역시 서구 대영로38번길 11(서대신동1가),051-246-4988
224,경기도,김량장점,경기도 용인시 처인구 김량장동 295-1,031-338-8892
225,경상남도,내외점,경상남도 김해시 우암로 109-1 (내동),055-334-9288
226,경기도,내손갈뫼점,경기도 의왕시 내손동 741-1,031-424-8280
227,경기도,고림점,경기도 용인시 처인구 고림동 1005,031-322-9980
228,부산광역시,정관방곡점,"부산광역시 기장군 정관읍 방곡3로 18-1 , 1층",051-727-6076
229,경기도,수원정자점,경기도 수원시 장안구 정자동 874-1,031-269-1001
230,서울특별시,등촌역점,서울특별시 양천구 목동 960,02-2644-2929
231,경기도,포승점,경기도 평택시 포승읍 여술로74,031-682-6564
232,인천광역시,인천논현2점,인천광역시 남동구 논현동 593-8,032-427-5585
233,경기도,역북점,경기도 용인시 처인구 명지로 40번길 9,031-338-9666
234,서울특별시,충무로점,서울특별시 중구 퇴계로 179-1,02-2285-3685
235,서울특별시,신촌점,서울특별시 서대문구 성산로22길36,02-3141-1367
236,경기도,창우점,경기도 하남시 대청로119-1,031-795-9253
237,경기도,미사역점,경기도 하남시 미사강변중앙로173,031-792-9344
238,경기도,여주터미널점,경기도 여주시 세종로79번길 23-3,031-881-5333
239,대전광역시,신성자운점,"대전 유성구 신성로77, 1층 (신성동)",042-867-7778
240,강원도,횡성점,강원도 횡성군 횡성읍 읍마북로 13,033-343-7773
241,강원도,영월점,강원도 영월군 영월읍 은행나무5길 41,033-372-9333
242,강원도,송지호점,강원도 고성군 오호길 18,033-638-5525
243,강원도,봉평점,강원도 평창군 봉평면 기풍로 162,033-334-7111
244,강원도,반곡혁신점,강원도 원주시 양지로 160-2(반곡동),033-746-0909
245,강원도,문막점,강원도 원주시 문막읍 문막시장 1길 35,033-735-9860
246,경기도,케이준 철산한신점,경기도 광명시 철망산로 87,02-2611-0199
247,경기도,케이준 원곡점,경기도 안산시 단원구 지곡로1안길 12,031-494-8242
248,경기도,오포점,경기도 광주시 오포읍 양벌로 315,031-765-9989
249,경기도,케이준 소하점,경기도 광명시 성채안로 26,02-897-9245
250,경기도,케이준 부천상동점,경기도 부천시 상동 559-3,032-321-9282
251,경기도,케이준 부림점,경기도 안양시 동안구 부림로 171,031-382-8292
252,경기도,케이준 본오점,경기도 안산시 상록구 본오동 827-8,031-406-9235
253,경기도,동백점,경기도 용인시 기흥구 동백3로 11번길 12,031-274-9299
254,경기도,초월점,경기도 광주시 초월읍 대쌍령리 191-6,031-766-1578
255,경기도,오천점,경기도 이천시 마장면 오천리 297-5,031-632-4543
256,경기도,안산사동점,경기도 안산시 상록구 사동 1397-1,031-416-9982
257,부산광역시,연산로터리점,부산광역시 연제구 월드컵대로 109 1층(연산동),051-852-8292
258,경기도,약대점,경기도 부천시 약대동 216-1,032-321-9289
259,경상남도,삼정점,"경상남도 김해시 활천로 36번길 46, 1층(삼정동)",055-331-5533
260,경기도,역곡점,경기도 부천시 안곡로 279번길 42,032-347-9288
261,경기도,반월점,경기도 안산시 상록구 창말1길 21,031-437-1153
262,인천광역시,운서점,인천광역시 중구 신도시남로 66,032-751-0070
263,서울특별시,월곡점,서울특별시 성북구 오패산로46,02-358-1122
264,서울특별시,왕십리점,서울특별시 성동구 마장로23길 7,02-6084-9283
265,서울특별시,이문점,서울특별시 동대문구 신이문로23길 23,02-964-0132
266,서울특별시,독산2점,서울특별시 금천구 시흥대로 90길 32-8,02-892-7770
267,대전광역시,도안가수원점,대전광역시 서구 가수원동 913,042-542-9283
268,경상북도,두호점,경상북도 포항시 북구 새천년대로1076번길 21 효암빌딩1층,054-251-9933
269,인천광역시,숭의점,인천광역시 미추홀구 장천로 80,032-888-0977
270,경상북도,오태북삼점,"경상북도 구미시 금오대로14길 32, 102호",054-464-7006
271,인천광역시,인천갈산점,인천광역시 부평구 주부토로 172번길 34 (갈산동),032-515-3557
272,전라북도,삼천점,"전북 전주시 완산구 삼천천변1길 17, 101호(삼천동1가)",063-211-9282
273,서울특별시,갈현점,서울특별시 은평구 갈현로 288 (갈현동),02-384-7171
274,서울특별시,효창점,서울특별시 용산구 백범로77길 14 (원효로 1가),02-703-9271
275,서울특별시,구의자양점,서울특별시 광진구 화양동 467-1,02-456-9282
276,경기도,율전점,경기도 수원시 장안구 율전동 360-9,031-295-9280
277,인천광역시,송도2점,인천광역시 연수구 송도문화로 28번길 28 (송도동),032-816-7282
278,전라북도,남원점,"전북 남원시 용성로 207,상가동1층 114호(도통동)",063-635-9282
279,부산광역시,센텀점,"부산광역시 해운대구 센텀중앙로 145, 상가3동 1층 103호(재송동,더샵센텀파크1차아파트)",051-741-8282
280,울산광역시,남외점,"울산광역시 중구 구교로 260, 지상1층(남외동)",052-298-9288
281,대구광역시,대현점,대구광역시 북구 대현로 118,053-955-9288
282,울산광역시,울산대점,"울산광역시 남구 대학로 94번길 6, 1층(무거동)",052-277-2633
283,울산광역시,수암점,울산광역시 남구 중앙로 38(야음동),052-277-9200
284,경기도,상록점,경기도 안산시 상록구 서암로4길 20-1 (사동),031-406-8300
285,경기도,죽전점,경기도 용인시 수지구 현암로76,031-896-8607
286,부산광역시,괴정샘터점,"부산광역시 사하구 낙동대로 233번길 59, 1층(괴정동)",051-201-2891
287,대구광역시,월성점,대구광역시 달서구 월성동 84-5 월성주공1단지 나동 103호,053-638-8979
288,경기도,고잔점,경기도 안산시 단원구 고잔동 696-3,031-485-9277
289,경상북도,고령덕곡점,경북 고령군 덕곡면 덕운로 586,054-956-2731
290,대구광역시,고성점,대구광역시 북구 고성북로3 101동 1층 4호,053-352-1225
291,대구광역시,복현점,대구광역시 북구 복현2동 134-2,053-382-9279
292,부산광역시,수안점,"부산광역시 동래구 충렬대로218번길 26, 비동 1층(수안동)",051-558-9989
293,경기도,오전점,"경기도 의왕시 등칙골4길 14, 1층 103호(오전동)",031-453-9221
294,부산광역시,남항점,"부산광역시 영도구 남항로19번길 38, 1층(남항동1가)",051-417-9992
295,울산광역시,화정점,울산광역시 동구 대송8길 31(화정동),052-922-4068
296,경기도,청북점,경기도 평택시 청북읍 안청로4길 42,031-683-1177
297,경기도,오산운암점,경기도 오산시 원동로6 (원동),031-378-0987
298,경상남도,팔판점,"경상남도 김해시 계동로23번길 5, 1층 111호(관동동, 대우프라자)",055-313-8255
299,울산광역시,망양점,울산광역시 울주군 온양읍 덕망로 270,052-239-9999
300,울산광역시,우정점,울산광역시 중구 우암길 1(우정동),052-212-9909
301,경기도,와동점,경기도 안산시 단원구 화정천동로 2안길 28,031-482-9281
302,울산광역시,성안점,"울산광역시 중구 함월16길 13-1, 1층 (성안동)",052-245-8255
303,울산광역시,선암점,"울산광역시 남구 두왕로 174번길 35-1, 1층(선암동)",052-258-9394
304,경기도,대화점,"경기 고양시 일산서구 강성로 271 (대화동,대화씨티빌 101호)",031-911-3856
305,경기도,갈매점,"경기도 구리시 갈애순환로 198, 1층 101호(갈매동, 비젼프라자)",031-527-9258
306,부산광역시,신주례점,부산광역시 사상구 백양대로 502(주례동),051-315-9992
307,인천광역시,서창2점,인천광역시 남동구 서창남로 51,032-465-5506
308,경상남도,신안평거점,"경남 진주시 신평공원길 25번길 8-4,1층",055-742-9982
309,경상남도,봉곡사림점,"경남 창원시 의창구 봉곡로 50,1층(봉곡동)",055-277-8295
310,경상남도,석동점,"경남 창원시 진해구 진해대로 886번길 20,1층(석동)",055-542-9290
311,경기도,옥정1호점,경기도 양주시 옥정동로 173 레이크프라자 107호,031-868-9293
312,인천광역시,인천장기점,인천광역시 계양구 장기로 29 (장기동),032-556-5678
313,서울특별시,구로점,서울특별시 구로구 구로동로 213,02-868-1089
314,서울특별시,헬리오시티점,서울특별시 송파구 가락로 16길 2-26 (석촌동),02-423-9281
315,경기도,남동탄점,경기도 화성시 동탄대로4길95 (장지동),031-376-4492
316,부산광역시,구서점,"부산광역시 금정구 금강로 563, 1층(구서동)",051-582-9279
317,부산광역시,명지국제신도시점,"부산광역시 강서구 명지국제5로 14, 1층 101호(명지동, 서진빌딩)",051-968-7888
318,강원도,평창점,강원도 평창군 평창읍 백오1길 33,033-333-0009
319,경기도,여주교동점,경기도 여주시 세종로 254-16 (교동),031-881-3799
320,대구광역시,도원점,대구광역시 달서구 도원남로56 산새마을 분산상가 1층 103호,053-641-0041
321,부산광역시,좌동상록점,"부산광역시 해운대구 세실로 7, 104호(좌동, 해운대상록아파트상가)",051-703-0678
322,부산광역시,구남역점,부산광역시 북구 백양대로 1015번길 15(구포동),051-335-7766
323,경기도,이천점,경기도 이천시 관고동 12-4,031-633-1823
324,부산광역시,부곡점,부산광역시 금정구 동현로 23(부곡동),051-581-7890
325,경상남도,석산점,경상남도 양산시 동면 금오7길 24,055-363-9911
326,부산광역시,문현1동점,"부산광역시 남구 고동골로 66, 1층(문현동)",051-624-9875
327,부산광역시,양정1호점,부산광역시 부산진구 양지로 5번길 20(양정동),051-867-9955
328,경기도,통진점,경기도 김포시 통진읍 서암로6번길 5-21,031-996-8295
329,경상남도,상동점,경남 거제시 거제중앙로3길 14-2(상동동),055-635-9290
330,부산광역시,반송2호점,"부산광역시 해운대구 아랫반송로 51, 1층(반송동)",051-545-9266
331,경기도,소사벌점,경기도 평택시 비전동 1053,031-656-8292
332,경기도,동탄중앙점,경기도 화성시 동탄산척로 2나길 6-7 (산척동),031-375-8292
333,경상북도,항구영일대점,경상북도 포항시 북구 아호로 3,054-253-9996
334,대구광역시,반야월점,대구광역시 동구 안심로41길 47,053-964-0797
335,대구광역시,테크노폴리스점,대구광역시 달성군 유가읍 테크노중앙대로 326-35,053-611-6265
